"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2010","10,386.0","10,386.0","10,386.0","10,386.0","-","0.20%"
"Jan 04, 2010","10,519.0","10,384.0","10,548.0","10,384.0","93.77K","1.28%"
"Jan 05, 2010","10,515.0","10,520.0","10,538.0","10,455.0","93.29K","-0.04%"
"Jan 06, 2010","10,516.0","10,514.0","10,544.0","10,479.0","97.17K","0.01%"
"Jan 07, 2010","10,545.0","10,518.0","10,560.0","10,451.0","112.28K","0.28%"
"Jan 08, 2010","10,566.0","10,548.0","10,579.0","10,496.0","79.93K","0.20%"
"Jan 11, 2010","10,604.0","10,573.0","10,623.0","10,537.0","93.89K","0.36%"
"Jan 12, 2010","10,588.0","10,592.0","10,603.0","10,514.0","126.89K","-0.15%"
"Jan 13, 2010","10,628.0","10,589.0","10,656.0","10,561.0","113.58K","0.38%"
"Jan 14, 2010","10,663.0","10,626.0","10,672.0","10,604.0","80.52K","0.33%"
"Jan 15, 2010","10,563.0","10,673.0","10,679.0","10,508.0","140.59K","-0.94%"
"Jan 18, 2010","10,607.0","10,558.0","10,607.0","10,543.0","-","0.42%"
"Jan 19, 2010","10,670.0","10,561.0","10,687.0","10,519.0","118.55K","0.59%"
"Jan 20, 2010","10,557.0","10,665.0","10,676.0","10,467.0","157.06K","-1.06%"
"Jan 21, 2010","10,338.0","10,556.0","10,591.0","10,327.0","208.15K","-2.07%"
"Jan 22, 2010","10,151.0","10,336.0","10,375.0","10,111.0","213.60K","-1.81%"
"Jan 25, 2010","10,140.0","10,149.0","10,172.0","10,131.0","139.82K","-0.11%"
"Jan 26, 2010","10,138.0","10,149.0","10,236.0","10,054.0","164.30K","-0.02%"
"Jan 27, 2010","10,195.0","10,140.0","10,205.0","10,055.0","189.54K","0.56%"
"Jan 28, 2010","10,062.0","10,188.0","10,264.0","10,005.0","195.69K","-1.30%"
"Jan 29, 2010","10,017.0","10,070.0","10,192.0","9,994.0","189.89K","-0.45%"
"Feb 01, 2010","10,137.0","10,013.0","10,145.0","10,005.0","121.77K","1.20%"
"Feb 02, 2010","10,224.0","10,137.0","10,266.0","10,103.0","137.52K","0.86%"
"Feb 03, 2010","10,241.0","10,226.0","10,261.0","10,187.0","112.52K","0.17%"
"Feb 04, 2010","9,979.0","10,240.0","10,255.0","9,955.0","201.47K","-2.56%"
"Feb 05, 2010","9,941.0","9,978.0","10,004.0","9,791.0","242.97K","-0.38%"
"Feb 08, 2010","9,895.0","9,894.0","9,894.0","9,880.0","136.08K","-0.46%"
"Feb 09, 2010","10,004.0","9,894.0","10,104.0","9,878.0","184.08K","1.10%"
"Feb 10, 2010","9,985.0","10,007.0","10,057.0","9,928.0","132.69K","-0.19%"
"Feb 11, 2010","10,110.0","9,987.0","10,129.0","9,940.0","138.60K","1.25%"
"Feb 12, 2010","10,117.0","10,109.0","10,140.0","9,951.0","157.88K","0.07%"
"Feb 15, 2010","10,085.0","10,098.0","10,112.0","10,068.0","-","-0.32%"
"Feb 16, 2010","10,241.0","10,109.0","10,252.0","10,067.0","106.06K","1.55%"
"Feb 17, 2010","10,296.0","10,237.0","10,300.0","10,232.0","103.76K","0.54%"
"Feb 18, 2010","10,375.0","10,298.0","10,385.0","10,245.0","102.18K","0.77%"
"Feb 19, 2010","10,378.0","10,378.0","10,421.0","10,277.0","121.65K","0.03%"
"Feb 22, 2010","10,374.0","10,368.0","10,434.0","10,352.0","79.56K","-0.04%"
"Feb 23, 2010","10,299.0","10,366.0","10,414.0","10,251.0","126.26K","-0.72%"
"Feb 24, 2010","10,355.0","10,298.0","10,379.0","10,269.0","109.74K","0.54%"
"Feb 25, 2010","10,316.0","10,355.0","10,355.0","10,172.0","147.61K","-0.38%"
"Feb 26, 2010","10,311.0","10,315.0","10,354.0","10,258.0","98.49K","-0.05%"
"Mar 01, 2010","10,385.0","10,324.0","10,403.0","10,324.0","90.63K","0.72%"
"Mar 02, 2010","10,399.0","10,382.0","10,447.0","10,371.0","89.84K","0.13%"
"Mar 03, 2010","10,387.0","10,395.0","10,458.0","10,364.0","105.12K","-0.12%"
"Mar 04, 2010","10,431.0","10,430.0","10,435.0","10,427.0","93.33K","0.42%"
"Mar 05, 2010","10,545.0","10,430.0","10,561.0","10,427.0","118.67K","1.09%"
"Mar 08, 2010","10,538.0","10,544.0","10,579.0","10,532.0","78.56K","-0.07%"
"Mar 09, 2010","10,564.0","10,538.0","10,606.0","10,500.0","107.36K","0.25%"
"Mar 10, 2010","10,565.0","10,560.0","10,597.0","10,520.0","111.08K","0.01%"
"Mar 11, 2010","10,610.0","10,608.0","10,612.0","10,607.0","75.72K","0.43%"
"Mar 12, 2010","10,635.0","10,608.0","10,661.0","10,595.0","43.27K","0.24%"
"Mar 15, 2010","10,638.0","10,635.0","10,644.0","10,569.0","33.10K","0.03%"
"Mar 16, 2010","10,686.0","10,637.0","10,693.0","10,622.0","36.67K","0.45%"
"Mar 17, 2010","10,726.0","10,686.0","10,768.0","10,679.0","21.80K","0.37%"
"Mar 18, 2010","10,780.0","10,729.0","10,786.0","10,708.0","15.54K","0.50%"
"Mar 19, 2010","10,850.1","10,780.0","10,829.0","10,775.0","-","0.65%"
"Mar 22, 2010","10,727.0","10,662.0","10,749.0","10,617.0","117.74K","-1.13%"
"Mar 23, 2010","10,828.0","10,725.0","10,831.0","10,717.0","-","0.94%"
"Mar 24, 2010","10,787.0","10,827.0","10,829.0","10,762.0","124.16K","-0.38%"
"Mar 25, 2010","10,791.0","10,784.0","10,894.0","10,772.0","138.93K","0.04%"
"Mar 26, 2010","10,798.0","10,789.0","10,847.0","10,753.0","128.35K","0.06%"
"Mar 29, 2010","10,829.0","10,805.0","10,857.0","10,800.0","83.14K","0.29%"
"Mar 30, 2010","10,854.0","10,825.0","10,879.0","10,805.0","96.89K","0.23%"
"Mar 31, 2010","10,797.0","10,852.0","10,854.0","10,771.0","116.77K","-0.53%"
"Apr 01, 2010","10,860.0","10,817.0","10,899.0","10,806.0","120.06K","0.58%"
"Apr 02, 2010","10,860.0","10,861.0","10,898.0","10,835.0","3.97K","0.00%"
"Apr 05, 2010","10,909.0","10,898.0","10,928.0","10,866.0","65.92K","0.45%"
"Apr 06, 2010","10,913.0","10,910.0","10,927.0","10,867.0","78.09K","0.04%"
"Apr 07, 2010","10,849.0","10,910.0","10,912.0","10,791.0","149.80K","-0.59%"
"Apr 08, 2010","10,884.0","10,845.0","10,898.0","10,791.0","110.07K","0.32%"
"Apr 09, 2010","10,953.0","10,881.0","10,956.0","10,875.0","92.83K","0.63%"
"Apr 12, 2010","10,952.0","10,970.0","11,003.0","10,938.0","90.28K","-0.01%"
"Apr 13, 2010","10,963.0","10,951.0","10,985.0","10,892.0","109.39K","0.10%"
"Apr 14, 2010","11,065.0","10,979.0","11,072.0","10,975.0","106.61K","0.93%"
