Date	Dow_Jones
01-01-2015	17822
02-01-2015	17723
05-01-2015	17450
06-01-2015	17290
07-01-2015	17507
08-01-2015	17820
09-01-2015	17649
12-01-2015	17571
13-01-2015	17535
14-01-2015	17365
15-01-2015	17283
16-01-2015	17432
18-01-2015	17412
19-01-2015	17404.5
20-01-2015	17461
21-01-2015	17491
22-01-2015	17737
23-01-2015	17588
26-01-2015	17614
27-01-2015	17378
28-01-2015	17100
29-01-2015	17432
30-01-2015	17097
02-02-2015	17299
03-02-2015	17572
04-02-2015	17568
05-02-2015	17784
06-02-2015	17782
09-02-2015	17681
10-02-2015	17793
11-02-2015	17831
12-02-2015	17932
13-02-2015	17982
15-02-2015	17959
16-02-2015	17923
17-02-2015	18001
18-02-2015	17993
19-02-2015	17959
20-02-2015	18104
23-02-2015	18085
24-02-2015	18186
25-02-2015	18194
26-02-2015	18203
27-02-2015	18127
02-03-2015	18248
03-03-2015	18186
04-03-2015	18086
05-03-2015	18120
06-03-2015	17861
09-03-2015	17970
10-03-2015	17666
11-03-2015	17638
12-03-2015	17866
13-03-2015	17729
16-03-2015	17933
17-03-2015	17857
18-03-2015	18069
19-03-2015	17966
20-03-2015	18042.3
23-03-2015	18016
24-03-2015	17949
25-03-2015	17649
26-03-2015	17603
27-03-2015	17626
30-03-2015	17860
31-03-2015	17703
01-04-2015	17615
02-04-2015	17676
03-04-2015	17676
06-04-2015	17805
07-04-2015	17785
08-04-2015	17829
09-04-2015	17887
10-04-2015	17973
13-04-2015	17910
14-04-2015	17964
15-04-2015	18022
16-04-2015	18041
17-04-2015	17770
20-04-2015	17943
21-04-2015	17883
22-04-2015	17945
23-04-2015	17981
24-04-2015	18017
27-04-2015	17990
28-04-2015	18058
29-04-2015	17954
30-04-2015	17759
01-05-2015	17934
04-05-2015	17995
05-05-2015	17864
06-05-2015	17778
07-05-2015	17889
08-05-2015	18121
11-05-2015	18041
12-05-2015	18029
13-05-2015	18015
14-05-2015	18202
15-05-2015	18229
18-05-2015	18259
19-05-2015	18284
20-05-2015	18256
21-05-2015	18258
22-05-2015	18224
24-05-2015	18231
25-05-2015	18215
26-05-2015	18053
27-05-2015	18141
28-05-2015	18134
29-05-2015	18009
01-06-2015	18023
02-06-2015	18001
03-06-2015	18096
04-06-2015	17925
05-06-2015	17842
08-06-2015	17768
09-06-2015	17767
10-06-2015	18018
11-06-2015	18043
12-06-2015	17903
15-06-2015	17796
16-06-2015	17911
17-06-2015	17911
18-06-2015	18125
19-06-2015	18078.5
22-06-2015	18025
23-06-2015	18067
24-06-2015	17883
25-06-2015	17812
26-06-2015	17873
29-06-2015	17520
30-06-2015	17523
01-07-2015	17671
02-07-2015	17649
03-07-2015	17623
06-07-2015	17627
07-07-2015	17680
08-07-2015	17442
09-07-2015	17452
10-07-2015	17669
13-07-2015	17900
14-07-2015	17961
15-07-2015	17992
16-07-2015	18020
17-07-2015	17997
20-07-2015	18003
21-07-2015	17866
22-07-2015	17785
23-07-2015	17676
24-07-2015	17523
27-07-2015	17396
28-07-2015	17546
29-07-2015	17682
30-07-2015	17686
31-07-2015	17614
03-08-2015	17511
04-08-2015	17454
05-08-2015	17475
06-08-2015	17375
07-08-2015	17321
10-08-2015	17553
11-08-2015	17355
12-08-2015	17367
13-08-2015	17369
14-08-2015	17439
17-08-2015	17504
18-08-2015	17482
19-08-2015	17285
20-08-2015	16917
21-08-2015	16467
24-08-2015	15709
25-08-2015	15719
26-08-2015	16249
27-08-2015	16650
28-08-2015	16659
31-08-2015	16508
01-09-2015	16087
02-09-2015	16330
03-09-2015	16348
04-09-2015	16119
06-09-2015	16156
07-09-2015	16239
08-09-2015	16452
09-09-2015	16270
10-09-2015	16306
11-09-2015	16436
14-09-2015	16380
15-09-2015	16621
16-09-2015	16765
17-09-2015	16658
