Date	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	Percentage Change
2010-01-04	5239.8	23014150	1012250						
2010-01-05	5281.2	24064400	1050250						0.7839127471029242
2010-01-06	5288.7	24499250	434850						0.14181178739576833
2010-01-07	5266.35	24391400	-107850						-0.42439260588452066
2010-01-08	5249.45	24155600	-235800		5265.1				-0.32193848879407455
2010-01-11	5256.1	25060800	905200		5262.1				0.12651966286791624
2010-01-12	5208.9	24926250	-134550		5244.366666666667				-0.9061414118144087
2010-01-13	5243.0	24910950	-15300		5243.9111111111115				0.6503909975205104
2010-01-14	5261.3	24605000	-305950		5249.707407407408				0.3478227814418524
2010-01-15	5254.4	24795450	190450		5251.271604938272				-0.13131851400731856
2010-01-18	5271.15	24276000	-519450		5257.897736625514				0.31776747009665823
2010-01-19	5220.7	24038100	-237900		5245.498491083676				-0.9663455092228977
2010-01-20	5214.75	23854450	-183650		5235.248994055783				-0.114099429502849
2010-01-21	5084.55	25278400	1423950		5185.015996037189				-2.5606985868955916
2010-01-22	5019.65	24998800	-279600		5129.893997358126				-1.292918829002033
2010-01-25	5002.05	21691600	-3307200		5087.279331572085				-0.35185573914693885
2010-01-27	4848.15	15890400	-5801200		5007.56955438139				-3.1744067324649725
2010-01-28	4867.2	8826150	-7064250		4960.779702920927				0.39139546351085186
2010-01-29	4875.65	29923300	1937150		4932.403135280618				0.17331022530328918
2010-02-01	4899.45	29896500	-26800		4921.418756853745	5455.573028432843	5142.625	4829.676971567157	0.48576881078488776
2010-02-02	4821.75	32216250	2319750		4888.195837902497	5460.680266506393	5121.7225	4782.764733493606	-1.6114481256805064
2010-02-03	4925.8	29924950	-2291300		4900.730558601665	5444.862732282617	5103.9525	4763.042267717384	2.1123472329367856
2010-02-04	4833.6	30668050	743100		4878.353705734443	5430.3971470144	5081.1975	4731.997852985601	-1.907480966567358
2010-02-05	4708.25	31376300	708250		4821.652470489628	5427.173918734562	5053.2925000000005	4679.411081265439	-2.6623480061594087
2010-02-06	4749.35	31349800	-26500		4797.551646993085	5413.082212639065	5028.2875	4643.492787360936	0.8653815785318066
2010-02-08	4764.9	31265550	-84250		4786.6677646620565	5389.925745043929	5003.7275	4617.529254956071	0.32634472916533974
