Date	Dow_Jones	P/E	P/B	Div Yield	Symbol	Expiry	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	PercentageChange	Vix
01-01-2015	17822	21.16	3.49	1.27	NIFTY	29-01-2015	8343.8	21140550	-28675							15.025
02-01-2015	17723	21.45	3.54	1.26	NIFTY	29-01-2015	8458.4	21427925	287375						1.373474916	13.795
05-01-2015	17450	21.4	3.53	1.26	NIFTY	29-01-2015	8422.85	20698500	-729425						-0.420292254	14.1525
06-01-2015	17290	20.76	3.42	1.3	NIFTY	29-01-2015	8157.9	19157775	-1540725						-3.145609859	17.42
07-01-2015	17507	20.7	3.41	1.3	NIFTY	29-01-2015	8141.85	18716025	-441750		8304.96				-0.196741809	18.14
08-01-2015	17820	21.04	3.47	1.28	NIFTY	29-01-2015	8257.25	17798500	-917525		8289.056667				1.417368289	16.4725
09-01-2015	17649	21.16	3.49	1.27	NIFTY	29-01-2015	8315.5	17111350	-687150		8297.871111				0.705440673	15.955
12-01-2015	17571	21.27	3.51	1.27	NIFTY	29-01-2015	8360.55	17553925	442575		8318.764074				0.541759365	16.11
13-01-2015	17535	21.21	3.5	1.27	NIFTY	29-01-2015	8316.5	17983750	429825		8318.009383				-0.526879212	16.4825
14-01-2015	17365	21.14	3.49	1.27	NIFTY	29-01-2015	8307.35	17577575	-406175		8314.456255				-0.110022245	17.2475
15-01-2015	17283	21.7	3.58	1.24	NIFTY	29-01-2015	8515.05	20645950	3068375		8381.320837				2.50019561	16.16
16-01-2015	17432	21.75	3.59	1.24	NIFTY	29-01-2015	8535.05	20075000	-570950		8432.563891				0.234878245	17.275
18-01-2015	17412															
19-01-2015	17404.5	21.8	3.6	1.23	NIFTY	29-01-2015	8574.1	20074375	-625		8479.742594				0.457525146	17.65
20-01-2015	17461	22.16	3.67	1.21	NIFTY	29-01-2015	8717.15	21734600	1660225		8558.878396				1.668396683	17.2725
21-01-2015	17491	22.21	3.68	1.21	NIFTY	29-01-2015	8738.5	22199875	465275		8618.752264				0.244919498	17.7125
22-01-2015	17737	22.25	3.69	1.2	NIFTY	29-01-2015	8779.15	22654775	454900		8672.218176				0.465182812	18.565
23-01-2015	17588	22.48	3.73	1.19	NIFTY	29-01-2015	8844.4	22753350	98575		8729.612117				0.743238241	17.885
26-01-2015	17614															
27-01-2015	17378	22.67	3.76	1.18	NIFTY	29-01-2015	8922.65	16079900	-6673450		8793.958078				0.884740627	18.085
28-01-2015	17100	22.67	3.76	1.18	NIFTY	29-01-2015	8904.65	10714875	-5365025		8830.855385				-0.20173379	19.77
29-01-2015	17432	22.84	3.77	1.18	NIFTY	29-01-2015	8948.55	7780325	-2934550		8870.086924	9037.162757	8528.06	8018.957243	0.493000848	19.4325
30-01-2015	17097	22.48	3.71	1.2	NIFTY	26-02-2015	8872.65	25504975	758725		8870.941282	9077.328378	8554.5025	8031.676622	-0.848182108	20.1725
02-02-2015	17299	22.51	3.71	1.2	NIFTY	26-02-2015	8859.65	24968800	-536175		8867.177522	9111.698823	8574.565	8037.431177	-0.146517669	20.405
03-02-2015	17572	22.42	3.69	1.21	NIFTY	26-02-2015	8809.9	25395600	426800		8848.085014	9135.662543	8593.9175	8052.172457	-0.561534598	19.8075
04-02-2015	17568	22.53	3.68	1.21	NIFTY	26-02-2015	8776.35	25280375	-115225		8824.173343	9133.069238	8624.84	8116.610762	-0.380821576	20.05
05-02-2015	17784	22.57	3.67	1.21	NIFTY	26-02-2015	8751.3	24833675	-446700		8799.882229	9114.796149	8655.3125	8195.828851	-0.285426174	20.615
06-02-2015	17782	22.44	3.65	1.22	NIFTY	26-02-2015	8711.9	24963150	129475		8770.554819	9099.954749	8678.045	8256.135251	-0.450218825	20.685
09-02-2015	17681	22.59	3.59	1.24	NIFTY	26-02-2015	8562.9	24804225	-158925		8701.336546	9082.537005	8690.415	8298.292995	-1.710304296	22.015
10-02-2015	17793	22.69	3.61	1.23	NIFTY	26-02-2015	8611.4	24942100	137875		8671.357697	9067.123534	8702.9575	8338.791466	0.566396898	21.1925
11-02-2015	17831	22.85	3.64	1.22	NIFTY	26-02-2015	8670.9	24808300	-133800		8671.205132	9039.576486	8720.6775	8401.778514	0.690944562	20.5025
12-02-2015	17932	23.07	3.67	1.21	NIFTY	26-02-2015	8752.2	25305800	497500		8698.203421	8999.33462	8742.92	8486.50538	0.937618932	20.1575
13-02-2015	17982	23.31	3.71	1.2	NIFTY	26-02-2015	8841.55	25806150	500350		8745.985614	8996.401199	8759.245	8522.088801	1.020886177	20.1025
15-02-2015	17959															
16-02-2015	17923	23.22	3.74	1.25	NIFTY	26-02-2015	8845.05	26048275	242125		8779.007076	8990.851184	8774.745	8558.638816	0.039585819	20.825
17-02-2015	18001															
18-02-2015	17993	23.28	3.77	1.24	NIFTY	26-02-2015	8891.3	25547200	-501075		8816.438051	8991.50561	8790.605	8589.70439	0.522891335	20.9125
19-02-2015	17959	23.76	3.78	1.24	NIFTY	26-02-2015	8916.15	24870425	-676775		8849.675367	9005.587258	8800.555	8595.522742	0.279486689	20.3975
20-02-2015	18104	23.62	3.75	1.25	NIFTY	26-02-2015	8849.45	22936200	-1934225		8849.600245	9010.11992	8806.1025	8602.08508	-0.74808073	21.2675
23-02-2015	18085	23.41	3.72	1.26	NIFTY	26-02-2015	8753.45	16523375	-6412825		8817.550163	9009.81914	8804.8175	8599.81586	-1.08481318	21.6325
24-02-2015	18186	23.43	3.72	1.26	NIFTY	26-02-2015	8773.3	12698450	-3824925		8802.800109	9005.86073	8801.2625	8596.66427	0.226767732	21.55
25-02-2015	18194	23.44	3.72	1.26	NIFTY	26-02-2015	8767.15	9356850	-3341600		8790.916739	8990.729435	8793.4875	8596.245565	-0.070099051	20.775
26-02-2015	18203	23.22	3.69	1.27	NIFTY	26-02-2015	8684.8	5881075	-3475775		8755.544493	8978.230063	8782.495	8586.759937	-0.939301826	20.58
27-02-2015	18127	23.65	3.76	1.24	NIFTY	26-03-2015	8889.95	24192825	208000		8800.346329	8966.841101	8779.565	8592.288899	2.362172992	19.57
02-03-2015	18248	23.95	3.8	1.23	NIFTY	26-03-2015	9000.7	26584200	873525		8903.642813	9010.637096	8791.2175	8571.797904	0.402135053	15.8475
