Date	Nifty Actual	Nifty predicted
2018-05-16	10761.25	10853.1259765625
2018-05-17	10696.2001953125	10846.4384765625
2018-05-18	10597.0498046875	10794.072265625
2018-05-21	10538.75	10723.783203125
2018-05-22	10552.849609375	10691.9462890625
2018-05-23	10426.599609375	10637.525390625
2018-05-24	10505.2001953125	10581.234375
2018-05-25	10602.400390625	10596.3232421875
2018-06-04	10598.7001953125	10819.4140625
2018-06-05	10596.4501953125	10696.130859375
2018-06-06	10686.25	10729.8232421875
2018-06-07	10765.2001953125	10794.521484375
2018-06-08	10748.099609375	10875.037109375
2018-06-11	10785.7998046875	10924.7958984375
2018-06-12	10839.0498046875	10961.248046875
2018-06-13	10844.849609375	11007.8251953125
2018-06-14	10813.900390625	11029.78515625
2018-06-15	10814.650390625	11022.6796875
2018-06-18	10789.599609375	11002.64453125
2018-06-19	10719.849609375	10897.5888671875
2018-06-20	10790.650390625	10848.8447265625
2018-06-21	10737.150390625	10837.9306640625
2018-06-22	10833.9501953125	10779.771484375
2018-06-25	10757.650390625	10866.56640625
2018-06-26	10766.900390625	10718.7724609375
2018-06-27	10673.4501953125	10744.5341796875
2018-06-28	10590.400390625	10617.287109375
2018-06-29	10694.7998046875	10593.1669921875
2018-07-02	10658.25	10623.09375
2018-07-03	10723.9501953125	10562.74609375
2018-07-04	10771.349609375	10611.572265625
2018-07-05	10751.75	10598.82421875
2018-07-06	10778.400390625	10768.5126953125
2018-07-09	10859.849609375	10725.990234375
2018-07-10	10947.849609375	10878.755859375
2018-07-11	10938.599609375	10930.568359375
2018-07-12	11016.25	10971.7578125
2018-07-13	11020.0	11090.455078125
2018-07-16	10944.25	11113.064453125
2018-07-17	11023.75	11124.0390625
2018-07-18	10978.599609375	11162.71484375
2018-07-19	10973.5498046875	11172.9052734375
2018-07-20	11024.849609375	11172.3349609375
2018-07-23	11099.400390625	11200.376953125
2018-07-24	11142.0	11287.2490234375
2018-07-25	11136.400390625	11374.3251953125
2018-07-26	11161.900390625	11392.8154296875
2018-07-27	11306.7001953125	11451.517578125
2018-07-30	11338.5	11543.75390625
2018-07-31	11371.599609375	11556.939453125
2018-08-01	11374.2998046875	11689.1689453125
2018-08-02	11282.2998046875	11599.5517578125
2018-08-03	11395.75	11695.736328125
2018-08-06	11414.25	11755.119140625
2018-08-07	11418.349609375	11794.6865234375
2018-08-08	11467.650390625	11866.431640625
2018-08-09	11487.5498046875	11848.3974609375
2018-08-10	11439.25	11919.4609375
2018-08-13	11381.150390625	11867.1650390625
2018-08-14	11463.4501953125	11857.078125
2018-08-30	11676.849609375	12473.1416015625
2018-08-31	11735.2998046875	12389.6279296875
2018-09-10	11492.7001953125	12341.08984375
2018-09-11	11336.25	12270.5078125
2018-09-12	11417.349609375	12178.9599609375
2018-09-28	10954.2998046875	11873.888671875
2018-10-01	11061.7998046875	11783.5517578125
2018-10-10	10465.75	11037.27734375
2018-10-11	10252.0498046875	10954.8115234375
2018-10-12	10486.5498046875	10752.767578125
2018-10-15	10517.4501953125	10880.662109375
2018-10-16	10589.849609375	10781.525390625
2018-10-17	10443.9501953125	10941.62109375
2018-10-26	10054.099609375	10309.1298828125
2018-10-29	10283.9501953125	10164.8486328125
2018-10-30	10229.25	10228.1591796875
2018-10-31	10398.400390625	10232.7158203125
2018-11-01	10413.4501953125	10325.6650390625
2018-11-02	10577.0498046875	10386.763671875
2018-11-05	10550.9501953125	10512.75390625
2018-11-06	10554.849609375	10541.6435546875
2018-11-07	10614.5498046875	10610.818359375
2018-11-16	10687.25	10731.6611328125
2018-11-19	10768.150390625	10708.30859375
2018-11-20	10671.9501953125	10742.958984375
2018-11-21	10621.599609375	10630.0009765625
2018-11-22	10524.7001953125	10642.234375
2018-12-03	10924.0	11022.3046875
2018-12-04	10907.75	11041.1904296875
2018-12-05	10827.650390625	10972.0087890625
2018-12-06	10626.2998046875	11006.1396484375
2018-12-07	10735.150390625	10816.2724609375
2018-12-10	10514.7001953125	10835.3603515625
2018-12-11	10581.099609375	10671.8984375
2018-12-12	10783.650390625	10654.5234375
2018-12-13	10824.9501953125	10776.126953125
2018-12-14	10820.2998046875	10804.708984375
2018-12-17	10910.5	10751.873046875
2018-12-18	10935.0498046875	10767.8955078125
2018-12-19	10986.5	10793.0283203125
2018-12-20	10978.2001953125	10780.5888671875
2018-12-21	10767.5	10737.822265625
2018-12-24	10681.900390625	10574.578125
2019-01-02	10830.849609375	10687.6435546875
2019-01-03	10718.5	10596.14453125
2019-01-04	10777.599609375	10461.0283203125
2019-01-07	10803.4501953125	10653.54296875
2019-01-08	10844.650390625	10559.5634765625
2019-01-09	10877.7001953125	10703.3564453125
2019-01-10	10857.75	10680.498046875
2019-01-11	10827.599609375	10743.5478515625
2019-01-14	10769.7998046875	10727.19921875
2019-01-15	10928.400390625	10685.4677734375
2019-01-16	10921.650390625	10810.267578125
2019-01-17	10925.849609375	10826.837890625
2019-01-18	10927.150390625	10886.119140625
2019-01-28	10676.7998046875	10967.3515625
2019-01-29	10668.0498046875	10805.6103515625
2019-01-30	10642.900390625	10846.8271484375
2019-01-31	10833.849609375	10835.3017578125
2019-02-01	10914.0498046875	10933.1162109375
2019-02-04	10937.5	11022.4482421875
2019-02-05	10951.7001953125	11111.1220703125
2019-02-06	11090.2998046875	11149.5966796875
2019-02-07	11093.7998046875	11263.5625
2019-02-08	10957.25	11281.0517578125
2019-02-11	10909.599609375	11264.8876953125
2019-02-12	10860.4501953125	11189.900390625
2019-02-13	10823.400390625	11237.646484375
2019-02-14	10779.7998046875	11139.5361328125
2019-02-15	10746.5498046875	11125.763671875
2019-02-25	10887.0498046875	11212.5126953125
2019-02-26	10827.7998046875	11229.1767578125
2019-02-27	10809.4501953125	11226.435546875
2019-02-28	10794.7001953125	11201.71484375
2019-03-01	10917.0498046875	11175.875
2019-03-12	11336.849609375	11500.0703125
2019-03-13	11366.650390625	11572.70703125
2019-03-14	11381.75	11685.8056640625
2019-03-15	11470.4501953125	11690.8828125
2019-03-18	11494.5	11825.3193359375
2019-03-19	11570.75	11914.578125
2019-03-20	11553.2001953125	12004.4072265625
2019-03-29	11679.900390625	12147.228515625
2019-04-01	11748.400390625	12288.98046875
2019-04-02	11779.5	12416.751953125
2019-04-03	11729.650390625	12502.421875
2019-04-04	11679.5498046875	12541.0341796875
2019-04-05	11760.75	12598.1337890625
2019-04-08	11674.900390625	12675.146484375
2019-04-09	11742.2998046875	12657.564453125
2019-04-10	11652.900390625	12692.9677734375
2019-04-11	11668.900390625	12656.7724609375
2019-04-12	11703.849609375	12683.466796875
2019-04-15	11727.75	12745.2353515625
2019-04-16	11824.4501953125	12753.2646484375
2019-05-09	11334.7998046875	12645.130859375
2019-05-10	11307.2001953125	12513.57421875
2019-05-13	11181.5498046875	12496.3232421875
2019-05-14	11241.650390625	12196.2822265625
2019-05-15	11177.4501953125	12324.05859375
2019-05-16	11285.25	12135.6025390625
2019-05-17	11425.7998046875	12289.998046875
2019-05-20	11859.4501953125	12278.9716796875
2019-05-21	11715.150390625	12607.8857421875
2019-05-22	11781.650390625	12598.1474609375
2019-05-23	11692.400390625	12693.0390625
2019-05-24	11869.400390625	12606.060546875
2019-06-03	12104.4501953125	12684.2177734375
2019-06-04	12056.150390625	12802.078125
2019-06-13	11928.2998046875	12946.900390625
2019-06-14	11838.0498046875	12994.1455078125
2019-06-17	11697.5498046875	12925.564453125
2019-06-18	11700.5	12858.796875
2019-06-19	11708.599609375	12871.1064453125
2019-06-20	11849.4501953125	12836.0712890625
2019-06-21	11753.4501953125	12996.103515625
2019-06-24	11717.150390625	12904.7509765625
2019-06-25	11810.2998046875	12962.8984375
2019-06-26	11864.400390625	12946.3447265625
2019-06-27	11843.7998046875	13015.98828125
2019-06-28	11841.5	13010.1796875
2019-07-01	11903.650390625	13047.037109375
2019-07-02	11942.349609375	13042.099609375
2019-07-03	11949.2001953125	13134.3212890625
2019-07-04	11979.650390625	13106.6015625
2019-07-05	11820.9501953125	13165.326171875
2019-07-08	11566.2998046875	13092.650390625
2019-07-09	11552.599609375	12904.748046875
2019-07-10	11492.25	12821.0048828125
2019-07-11	11582.0498046875	12726.529296875
2019-07-12	11544.349609375	12780.357421875
2019-07-15	11579.2001953125	12731.8740234375
2019-07-16	11657.849609375	12753.52734375
2019-07-17	11675.7998046875	12796.138671875
2019-07-18	11604.349609375	12811.4619140625
2019-07-19	11421.849609375	12776.7822265625
2019-07-22	11360.25	12641.5380859375
2019-07-23	11333.7998046875	12585.94921875
2019-07-24	11277.7998046875	12525.955078125
2019-07-25	11247.150390625	12433.935546875
2019-07-26	11327.0	12383.48046875
2019-07-29	11215.0498046875	12418.2802734375
2019-07-30	11095.2001953125	12310.3154296875
2019-07-31	11132.2001953125	12241.6357421875
2019-08-01	11015.349609375	12100.6767578125
2019-08-02	11024.0498046875	11973.8623046875
2019-08-05	10896.7998046875	11947.3779296875
2019-08-06	10978.650390625	11642.322265625
2019-08-07	10874.25	11799.2578125
2019-08-08	11063.9501953125	11550.837890625
2019-08-09	11122.9501953125	11808.3173828125
2019-08-23	10842.7001953125	11435.267578125
2019-08-26	11054.2001953125	11413.986328125
2019-08-27	11103.900390625	11594.2578125
2019-08-28	11049.25	11543.2021484375
2019-08-29	10944.7001953125	11646.3349609375
2019-08-30	11058.900390625	11530.05859375
2019-09-18	10855.4501953125	11647.337890625
2019-09-19	10711.2998046875	11614.6201171875
2019-09-20	11295.5	11484.3154296875
2019-09-23	11607.2998046875	11865.3896484375
2019-09-24	11613.849609375	12033.0107421875
2019-09-25	11469.099609375	12211.37890625
2019-09-26	11569.9501953125	11933.8740234375
2019-09-27	11579.5	12198.7255859375
2019-09-30	11534.599609375	12134.2509765625
2019-10-01	11429.849609375	12193.7978515625
2019-10-16	11475.5498046875	12074.6064453125
2019-10-17	11600.650390625	12069.8818359375
2019-10-18	11670.0	12259.8564453125
2019-11-05	11956.0	12825.8037109375
2019-11-06	12008.0498046875	12937.337890625
2019-11-07	12047.9501953125	12913.056640625
2019-11-08	11945.349609375	13064.1640625
2019-11-11	11943.7001953125	13036.6015625
2019-11-20	12018.150390625	13146.48046875
2019-11-21	11974.5498046875	13167.1474609375
2019-11-22	11914.5	13253.125
2019-11-25	12096.2998046875	13193.7080078125
2019-11-26	12075.2001953125	13361.2177734375
2019-11-27	12108.5498046875	13343.94140625
2019-11-28	12145.9501953125	13462.2548828125
2019-11-29	12099.849609375	13479.3515625
2019-12-02	12091.4501953125	13522.044921875
2019-12-03	12046.4501953125	13448.3955078125
2019-12-04	12089.7998046875	13402.69921875
2019-12-05	12047.7001953125	13407.7734375
2019-12-06	11955.7001953125	13365.388671875
2019-12-09	11966.7001953125	13376.537109375
2019-12-10	11898.2001953125	13294.0625
2019-12-11	11938.150390625	13292.7060546875
2019-12-12	12028.650390625	13287.92578125
2019-12-13	12142.349609375	13363.740234375
2019-12-16	12082.5498046875	13449.984375
2019-12-17	12187.150390625	13477.6513671875
2019-12-18	12243.150390625	13552.0546875
2019-12-19	12268.9501953125	13619.9716796875
2019-12-20	12290.0	13717.724609375
2019-12-23	12276.4501953125	13769.048828125
2019-12-24	12238.4501953125	13794.7802734375
2020-01-02	12339.2998046875	13780.4677734375
2020-01-03	12256.4501953125	13910.2939453125
2020-01-06	12043.7001953125	13833.6298828125
2020-01-07	12106.7001953125	13768.263671875
2020-01-08	12063.5	13705.814453125
2020-01-09	12269.75	13755.63671875
2020-01-10	12290.0	13853.6181640625
2020-01-13	12362.150390625	13883.5205078125
2020-01-14	12397.0	14009.3173828125
2020-01-15	12378.0498046875	14028.279296875
2020-01-16	12374.349609375	14114.345703125
2020-01-17	12384.650390625	14143.94140625
2020-01-27	12125.7001953125	13989.4033203125
2020-01-28	12068.0	13847.3447265625
2020-01-29	12121.5498046875	13748.6083984375
2020-01-30	12043.5	13745.0947265625
2020-01-31	11994.2998046875	13666.6748046875
2020-02-03	11703.150390625	13526.08203125
2020-02-04	11964.25	13257.2900390625
2020-02-05	12086.2998046875	13524.1552734375
2020-02-06	12136.349609375	13518.359375
2020-02-07	12095.900390625	13672.6513671875
2020-02-10	12040.0498046875	13579.9921875
2020-02-11	12126.849609375	13639.97265625
2020-02-12	12228.4501953125	13684.3388671875
2020-02-13	12174.599609375	13853.2099609375
2020-02-14	12129.650390625	13786.904296875
2020-03-02	11123.7001953125	12424.2939453125
2020-03-03	11294.75	12268.1630859375
2020-03-04	11247.099609375	12160.6796875
2020-03-05	11255.349609375	12315.9453125
2020-03-06	10939.900390625	11991.751953125
2020-03-09	10462.349609375	11992.853515625
2020-03-18	8433.7001953125	9553.349609375
2020-03-19	8205.900390625	8416.8232421875
2020-03-20	8723.099609375	8649.3701171875
2020-03-23	7581.5498046875	8726.40234375
2020-03-24	7849.89990234375	7447.4111328125
2020-03-25	8362.2001953125	8473.6904296875
2020-03-26	8630.2998046875	8188.72509765625
2020-03-27	8651.400390625	8736.0126953125
2020-03-30	8290.150390625	8270.2119140625
2020-03-31	8620.9501953125	8417.0927734375
2020-04-01	8257.2998046875	8461.7275390625
2020-04-22	9188.2998046875	8581.7451171875
2020-04-23	9296.75	8780.94921875
2020-04-24	9138.25	8789.7587890625
2020-04-27	9295.150390625	8770.888671875
2020-04-28	9397.75	8868.7587890625
2020-04-29	9549.150390625	8955.1015625
2020-04-30	9842.400390625	9177.517578125
2020-05-11	9225.150390625	9008.740234375
2020-05-12	9212.349609375	8983.123046875
2020-05-13	9393.5498046875	8933.185546875
2020-05-14	9143.900390625	9025.7666015625
2020-05-15	9137.099609375	8932.23046875
2020-05-18	8825.849609375	8890.8701171875
2020-05-19	8884.099609375	8807.6640625
2020-05-20	9066.650390625	8723.2490234375
2020-05-21	9075.099609375	8960.6201171875
2020-05-22	9027.7998046875	8866.32421875
2020-06-02	9962.9501953125	9478.33984375
2020-06-03	10071.7998046875	9677.056640625
2020-06-04	10017.650390625	9817.5341796875
2020-06-05	10145.5	9800.2841796875
2020-06-08	10165.349609375	10093.921875
2020-06-09	10034.0	10103.2275390625
2020-06-10	10118.7001953125	10136.0380859375
2020-06-11	9894.5498046875	10130.6220703125
2020-06-12	9955.349609375	9825.6572265625
2020-06-15	9813.75	10068.81640625
2020-06-16	9897.849609375	9828.1396484375
2020-06-17	9854.5498046875	10085.6474609375
2020-06-18	10071.900390625	9908.654296875
2020-06-19	10235.5498046875	10159.9453125
2020-06-22	10288.2001953125	10328.3720703125
2020-06-23	10467.7001953125	10350.8310546875
2020-06-24	10295.650390625	10599.0849609375
